SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2016,08,11,70950430,192,System,Unknown,0,Unsupported additional data : 00:00:01:01:00:00:00:00:00:00
0,2016,08,11,70951055,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2016,08,11,70952053,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2016,08,11,70952249,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2016,08,11,70955054,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2016,08,11,70969058,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2016,08,11,70987562,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2016,08,11,70987563,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2016,08,11,70988562,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2016,08,11,70988563,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2016,08,11,70989062,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2016,08,11,70989062,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2016,08,11,70989063,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2016,08,11,70989063,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2016,08,11,70989562,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2016,08,11,70989563,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2016,08,11,70990062,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2016,08,11,70990063,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2016,08,11,70990562,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2016,08,11,70990563,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2016,08,11,70990812,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2016,08,11,70990813,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2016,08,11,70991062,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2016,08,11,70991063,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2016,08,11,70993065,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2016,08,11,71005578,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2016,08,11,71006066,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2016,08,11,71006067,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2016,08,11,71007066,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2016,08,11,71007067,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2016,08,11,71008066,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2016,08,11,71009946,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2016,08,11,71010707,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
