SeqNo,Year,Month,Day,ms,PacketVersion,HR,BR,SkinTemp,Posture,Activity,Peak Accel,BattV,Batt%,BrWaveAmp,BrWaveNoise,BRConf,ECGAmp,ECGNoise,HRConf,HRV,SysConf,GSR,ROGState,ROGTime,VerticalAccelMin,VerticalAccelPeak,LateralAccelMin,LateralAccelPeak,SagittalAccelMin,SagittalAccelPeak,DeviceTemp,StatusInfo,LinkQual,RSSI,TXPower,EstimatedCoreTemp,AuxADC1,AuxADC2,AuxADC3,Reserved
86,2016,09,16,6352175,2,110,11.8,-3276.8,-26,0.01,0.04,3.875,45,3,65535,255,1.36,0.82,4,65535,0,65535,1,42,-0.96,-0.89,0.39,0.46,0.13,0.18,28.8,528,254,0,12,37.3,415,419,507,0
87,2016,09,16,6353175,2,110,11.8,-3276.8,-25,0.01,0.03,3.875,45,2,65535,255,1.36,0.82,10,65535,0,65535,1,43,-0.96,-0.9,0.39,0.46,0.12,0.18,28.8,528,254,0,12,37.3,415,420,507,0
88,2016,09,16,6354175,2,111,12.1,-3276.8,-25,0.01,0.03,3.875,45,2,65535,255,2.2,0.76,9,65535,0,65535,1,44,-0.96,-0.9,0.37,0.46,0.12,0.18,28.8,528,254,1,12,37.3,414,419,506,0
89,2016,09,16,6355169,2,112,12.1,-3276.8,-25,0.01,0.04,3.875,45,2,65535,255,2.2,0.72,8,65535,0,65535,1,45,-0.96,-0.89,0.39,0.45,0.12,0.18,28.8,528,254,0,12,37.3,414,419,507,0
90,2016,09,16,6356174,2,112,12.4,-3276.8,-25,0.01,0.03,3.875,45,2,65535,255,2.14,0.66,7,65535,0,65535,1,46,-0.96,-0.9,0.38,0.46,0.12,0.18,28.8,528,254,0,12,37.3,414,420,507,0
91,2016,09,16,6357173,2,111,12.4,-3276.8,-25,0.01,0.09,3.875,45,2,65535,255,2.14,0.6,7,65535,0,65535,1,47,-0.96,-0.9,0.39,0.45,-0.01,0.18,28.8,528,254,0,12,37.3,415,420,507,0
92,2016,09,16,6358172,2,111,12.7,-3276.8,-25,0.01,0.04,3.875,45,2,65535,255,2.06,0.64,7,65535,0,65535,1,48,-0.96,-0.89,0.39,0.46,0.12,0.18,28.8,528,254,0,12,37.3,415,419,507,0
93,2016,09,16,6359176,2,111,12.7,-3276.8,-25,0.01,0.03,3.875,45,1,65535,255,2.06,0.7,7,65535,0,65535,1,49,-0.96,-0.91,0.37,0.45,0.1,0.18,28.8,528,254,0,12,37.3,415,420,507,0
94,2016,09,16,6360176,2,111,13.2,-3276.8,-25,0.01,0.03,3.875,45,1,65535,255,2.02,0.7,8,65535,0,65535,1,50,-0.96,-0.91,0.38,0.44,0.1,0.18,28.8,528,254,0,12,37.3,415,420,507,0
95,2016,09,16,6361176,2,111,13.2,-3276.8,-25,0.01,0.03,3.875,45,1,65535,255,2.02,0.66,13,65535,0,65535,1,51,-0.96,-0.9,0.38,0.45,0.12,0.16,28.8,528,254,0,12,37.3,415,419,506,0
96,2016,09,16,6362177,2,110,13.4,-3276.8,-25,0.01,0.03,3.875,45,1,65535,255,2.02,0.6,19,65535,0,65535,1,52,-0.96,-0.91,0.38,0.45,0.1,0.18,28.8,528,254,0,12,37.3,415,419,507,0
97,2016,09,16,6363177,2,111,13.4,-3276.8,-25,0.01,0.03,3.875,45,1,65535,255,2.02,0.6,23,65535,100,65535,1,53,-0.96,-0.89,0.38,0.44,0.12,0.18,28.8,512,254,0,12,37.3,424,426,522,0
98,2016,09,16,6364177,2,111,13.5,-3276.8,-25,0.01,0.06,3.875,45,1,65535,255,1.98,0.56,28,65535,100,65535,1,54,-0.96,-0.91,0.38,0.46,0.1,0.18,28.8,512,254,0,12,37.3,415,419,507,0
99,2016,09,16,6365178,2,111,13.5,-3276.8,-25,0.01,0.03,3.875,45,1,65535,255,1.98,0.62,31,65535,100,65535,1,55,-0.97,-0.9,0.38,0.45,0.1,0.16,28.8,512,254,0,12,37.3,415,420,507,0
100,2016,09,16,6366178,2,111,13.7,-3276.8,-25,0.01,0.03,3.875,45,1,65535,255,2.1,0.62,34,65535,100,65535,1,56,-0.96,-0.91,0.38,0.44,0.1,0.18,28.8,512,254,0,12,37.3,415,419,507,0
101,2016,09,16,6367178,2,110,13.7,-3276.8,-25,0.02,0.04,3.875,45,1,65535,255,2.1,0.6,37,65535,100,65535,1,57,-0.96,-0.9,0.39,0.46,0.1,0.16,28.8,512,254,0,12,37.3,415,419,507,0
102,2016,09,16,6368178,2,110,13.5,-3276.8,-25,0.01,0.03,3.875,45,1,65535,255,2.1,0.56,41,65535,100,65535,1,58,-0.96,-0.9,0.38,0.46,0.1,0.18,28.8,512,254,0,12,37.3,415,419,507,0
103,2016,09,16,6369179,2,111,13.5,-3276.8,-25,0.01,0.04,3.875,45,1,65535,255,2.1,0.7,42,65535,100,65535,1,59,-0.96,-0.9,0.37,0.44,0.09,0.19,28.8,512,254,-75,12,37.3,415,419,507,0
104,2016,09,16,6370181,2,111,13.4,-3276.8,-25,0.01,0.03,3.875,45,1,65535,255,1.94,0.9,40,65535,100,65535,1,60,-0.96,-0.9,0.38,0.45,0.12,0.18,28.8,512,254,0,12,37.3,414,420,507,0
105,2016,09,16,6371179,2,110,13.4,-3276.8,-25,0.01,0.03,3.875,45,1,65535,255,1.94,0.74,39,65535,100,65535,1,61,-0.96,-0.9,0.37,0.46,0.12,0.18,28.8,512,254,0,12,37.3,415,419,508,0
106,2016,09,16,6372178,2,110,13.2,-3276.8,-25,0.01,0.03,3.875,45,1,65535,255,1.9,0.68,39,65535,100,65535,1,62,-0.96,-0.9,0.38,0.46,0.12,0.18,28.8,512,254,0,12,37.3,415,419,507,0
107,2016,09,16,6373179,2,109,13.2,-3276.8,-25,0.01,0.1,3.875,45,1,65535,255,1.9,0.6,35,65535,100,65535,1,63,-0.96,-0.77,0.38,0.45,0.12,0.18,28.8,512,254,0,12,37.3,405,410,501,0
108,2016,09,16,6374179,2,109,13.1,-3276.8,-25,0.01,0.03,3.875,45,1,65535,255,1.76,0.56,31,65535,100,65535,1,64,-0.96,-0.9,0.37,0.44,0.1,0.18,28.8,512,254,0,12,37.3,414,419,507,0
109,2016,09,16,6375178,2,108,13.1,-3276.8,-25,0.01,0.03,3.875,45,1,65535,255,1.76,0.6,27,65535,100,65535,1,65,-0.96,-0.9,0.38,0.45,0.1,0.18,28.8,512,254,0,12,37.3,415,407,496,0
110,2016,09,16,6376179,2,108,13,-3276.8,-25,0.01,0.03,3.875,45,1,65535,255,1.66,0.58,24,65535,100,65535,1,66,-0.96,-0.91,0.38,0.45,0.13,0.18,28.8,512,254,2,12,37.3,415,419,506,0
111,2016,09,16,6377181,2,109,13,-3276.8,-25,0.01,0.03,3.875,45,1,65535,255,1.66,0.56,27,65535,100,65535,1,67,-0.96,-0.91,0.38,0.44,0.12,0.18,28.8,512,254,0,12,37.3,415,420,507,0
112,2016,09,16,6378178,2,109,13.2,-3276.8,-25,0.01,0.03,3.875,45,1,65535,255,2.04,0.66,30,65535,100,65535,1,68,-0.96,-0.89,0.38,0.44,0.12,0.16,28.8,512,254,0,12,37.3,414,419,507,0
113,2016,09,16,6379179,2,109,13.2,-3276.8,-25,0.01,0.03,3.875,45,1,65535,255,2.04,0.62,32,65535,100,65535,1,69,-0.97,-0.9,0.39,0.44,0.12,0.18,28.8,512,254,0,12,37.3,414,420,507,0
114,2016,09,16,6380181,2,110,13.4,-3276.8,-25,0.01,0.03,3.875,45,1,65535,255,2.14,0.64,33,65535,100,65535,1,70,-0.96,-0.9,0.37,0.45,0.12,0.18,28.8,512,254,-75,12,37.3,414,419,506,0
115,2016,09,16,6381178,2,110,13.4,-3276.8,-25,0.01,0.04,3.875,45,1,65535,255,2.14,0.56,36,65535,100,65535,1,71,-0.96,-0.91,0.37,0.44,0.09,0.18,28.8,512,254,0,12,37.3,414,419,507,0
