Time, Type, Data
18/09/2016 17:15:58.619,RX,02-22-58-67-E0-07-09-12-F1-4E-B4-03-FD-F5-D7-5F-7F-FC-ED-A7-5F-7E-F8-D9-47-9F-7C-F1-BD-E7-5E-7B-EE-C1-47-1F-7E-FA-E1-27-1F-7A-DD-55-07-DD-73-D2-61-E7-DD-78-E7-A1-67-9E-78-DF-79-17-5E-79-EB-C1-37-1F-7D-F3-C5-E7-DE-7A-EA-A5-97-9E-7A-EB-AD-B7-DE-7A-EC-BD-37-5F-7E-FF-15-B8-20-28-03
18/09/2016 17:15:58.821,RX,02-22-58-68-E0-07-09-12-ED-4F-B4-03-10-52-78-A1-86-1D-82-28-E2-88-22-86-F8-61-87-1A-62-68-21-85-12-46-F8-A0-83-0C-2E-A8-60-82-09-22-88-E0-81-06-16-48-E0-80-03-12-58-A0-81-07-22-88-E0-81-06-16-58-20-81-05-16-68-A0-81-05-12-38-E0-80-02-06-F8-1F-7F-F8-D5-37-5F-7C-EF-B9-E7-1E-DE-03
18/09/2016 17:15:59.057,RX,02-20-35-1A-E0-07-09-12-DE-51-B4-03-5B-00-99-00-00-80-E8-FF-01-00-04-00-31-10-03-00-58-07-58-02-A0-FF-A6-FF-20-00-27-00-13-00-1E-00-00-00-FF-FF-00-00-00-00-01-00-5A-80-22-03
18/09/2016 17:15:59.172,RX,02-22-58-69-E0-07-09-12-E9-50-B4-03-EF-C9-67-9F-7E-FD-FD-07-60-80-01-0A-48-E0-81-0A-32-D8-A0-83-0D-32-B8-A0-82-09-22-78-A0-81-04-0E-18-E0-7F-FD-F1-B7-9F-7E-F9-E5-97-5F-7E-F8-E1-77-DF-7D-F7-DD-87-5F-7E-F9-E9-A7-9F-7E-FA-E9-A7-DF-7E-FB-F1-D7-5F-7F-FD-F9-D7-5F-7F-FC-F1-B7-1F-71-03-02-24-2D-29-E0-07-09-12-55-4E-B4-03-76-03-76-03-76-03-76-03-76-03-76-03-76-03-76-03-A6-FC-A6-FC-A6-FC-A6-FC-A6-FC-A6-FC-A6-FC-A6-FC-A6-FC-A6-FC-E6-03
18/09/2016 17:15:59.343,RX,02-22-58-6A-E0-07-09-12-E6-51-B4-03-FB-ED-A7-9F-7E-F9-E1-77-9F-7D-F5-D5-57-9F-7D-F8-E5-B7-1F-7F-FE-01-28-20-81-06-1E-88-20-82-08-1E-78-E0-81-07-22-A8-A0-83-12-5A-98-61-86-17-4A-A8-E0-80-FD-E9-B7-5F-7F-01-12-78-20-82-07-16-38-A0-80-03-1A-B8-E0-83-0F-36-A8-E0-81-06-26-D8-20-93-03
18/09/2016 17:15:59.421,TX,02-23-00-00-03
18/09/2016 17:15:59.507,RX,02-21-20-9A-E0-07-09-12-DD-4F-B4-03-FE-F9-E7-9F-7F-FF-FD-F7-DF-7F-00-02-08-20-80-00-02-08-60-80-01-06-08-DD-03
18/09/2016 17:15:59.625,RX,02-22-58-6B-E0-07-09-12-E2-52-B4-03-10-46-08-61-83-0B-22-58-E0-80-02-02-08-20-80-01-0E-58-E0-81-09-2E-C8-60-83-0E-3A-E8-A0-83-0E-36-D8-20-83-0B-26-78-A0-81-05-12-48-60-81-05-1A-68-A0-81-06-1A-68-60-81-05-16-48-20-81-04-12-38-A0-80-00-02-F8-9F-7F-FE-F9-E7-5F-7F-FD-F9-07-20-E2-03
18/09/2016 17:15:59.836,RX,02-22-58-6C-E0-07-09-12-DE-53-B4-03-04-22-B8-E0-82-0A-1E-48-A0-80-01-02-F8-DF-7F-FF-01-18-A0-80-03-12-58-A0-81-07-22-88-20-82-08-1E-68-A0-81-05-12-48-60-81-05-1A-78-20-82-08-26-98-60-82-0A-2A-B8-20-83-0C-36-D8-60-83-0D-32-B8-E0-82-0A-2A-A8-A0-82-09-26-88-20-82-08-26-98-20-08-03
18/09/2016 17:16:00.067,RX,02-20-35-1B-E0-07-09-12-C6-55-B4-03-5A-00-99-00-00-80-E8-FF-02-00-04-00-31-10-03-00-58-07-F4-01-9F-FF-A6-FF-1F-00-28-00-15-00-1E-00-00-00-FF-FF-00-00-00-00-01-00-5A-80-4F-03
