SeqNo, Year, Month, Day, ms, ECG Data
212,2016,09,18,62175813,597
,,,,,597
,,,,,598
,,,,,600
,,,,,601
,,,,,602
,,,,,602
,,,,,601
,,,,,600
,,,,,599
,,,,,597
,,,,,595
,,,,,593
,,,,,591
,,,,,589
,,,,,587
,,,,,586
,,,,,585
,,,,,583
,,,,,582
,,,,,581
,,,,,581
,,,,,582
,,,,,583
,,,,,581
,,,,,579
,,,,,574
,,,,,569
,,,,,564
,,,,,560
,,,,,556
,,,,,553
,,,,,549
,,,,,546
,,,,,543
,,,,,542
,,,,,542
,,,,,543
,,,,,547
,,,,,551
,,,,,554
,,,,,555
,,,,,553
,,,,,549
,,,,,544
,,,,,538
,,,,,533
,,,,,529
,,,,,527
,,,,,526
,,,,,525
,,,,,526
,,,,,527
,,,,,528
,,,,,528
,,,,,528
,,,,,528
,,,,,529
,,,,,530
,,,,,532
,,,,,534
,,,,,536
,,,,,538
213,2016,09,18,62176061,539
,,,,,539
,,,,,539
,,,,,538
,,,,,537
,,,,,537
,,,,,536
,,,,,535
,,,,,533
,,,,,531
,,,,,528
,,,,,524
,,,,,519
,,,,,515
,,,,,512
,,,,,509
,,,,,507
,,,,,505
,,,,,504
,,,,,503
,,,,,504
,,,,,504
,,,,,504
,,,,,504
,,,,,502
,,,,,500
,,,,,497
,,,,,494
,,,,,491
,,,,,489
,,,,,488
,,,,,487
,,,,,486
,,,,,484
,,,,,481
,,,,,479
,,,,,476
,,,,,473
,,,,,470
,,,,,467
,,,,,463
,,,,,459
,,,,,455
,,,,,451
,,,,,449
,,,,,447
,,,,,446
,,,,,446
,,,,,449
,,,,,454
,,,,,460
,,,,,465
,,,,,468
,,,,,467
,,,,,463
,,,,,456
,,,,,447
,,,,,440
,,,,,435
,,,,,434
,,,,,436
,,,,,440
,,,,,446
214,2016,09,18,62176313,450
,,,,,452
,,,,,449
,,,,,440
,,,,,429
,,,,,417
,,,,,410
,,,,,411
,,,,,420
,,,,,434
,,,,,446
,,,,,452
,,,,,452
,,,,,448
,,,,,443
,,,,,441
,,,,,441
,,,,,441
,,,,,440
,,,,,440
,,,,,441
,,,,,444
,,,,,449
,,,,,452
,,,,,455
,,,,,457
,,,,,460
,,,,,462
,,,,,465
,,,,,467
,,,,,470
,,,,,472
,,,,,474
,,,,,477
,,,,,479
,,,,,482
,,,,,484
,,,,,487
,,,,,489
,,,,,490
,,,,,490
,,,,,490
,,,,,489
,,,,,488
,,,,,489
,,,,,490
,,,,,492
,,,,,494
,,,,,494
,,,,,493
,,,,,492
,,,,,491
,,,,,490
,,,,,490
,,,,,490
,,,,,490
,,,,,490
,,,,,488
,,,,,485
,,,,,481
,,,,,478
,,,,,475
,,,,,472
215,2016,09,18,62176565,470
,,,,,467
,,,,,464
,,,,,462
,,,,,460
,,,,,459
,,,,,459
,,,,,460
,,,,,460
,,,,,461
,,,,,461
,,,,,461
,,,,,461
,,,,,462
,,,,,463
,,,,,464
,,,,,465
,,,,,466
,,,,,467
,,,,,470
,,,,,473
,,,,,475
,,,,,474
,,,,,471
,,,,,465
,,,,,458
,,,,,452
,,,,,447
,,,,,443
,,,,,439
,,,,,436
,,,,,435
,,,,,435
,,,,,437
,,,,,440
,,,,,444
,,,,,449
,,,,,454
,,,,,459
,,,,,462
,,,,,464
,,,,,465
,,,,,466
,,,,,467
,,,,,468
,,,,,468
,,,,,467
,,,,,466
,,,,,464
,,,,,464
,,,,,463
,,,,,464
,,,,,465
,,,,,466
,,,,,468
,,,,,469
,,,,,471
,,,,,473
,,,,,474
,,,,,475
,,,,,476
,,,,,476
,,,,,476
216,2016,09,18,62176817,476
,,,,,475
,,,,,475
,,,,,474
,,,,,474
,,,,,473
,,,,,473
,,,,,472
,,,,,472
,,,,,472
,,,,,472
,,,,,471
,,,,,470
,,,,,470
,,,,,470
,,,,,470
,,,,,470
,,,,,470
,,,,,469
,,,,,467
,,,,,465
,,,,,463
,,,,,462
,,,,,462
,,,,,462
,,,,,463
,,,,,463
,,,,,462
,,,,,461
,,,,,460
,,,,,460
,,,,,461
,,,,,462
,,,,,462
,,,,,462
,,,,,462
,,,,,462
,,,,,464
,,,,,465
,,,,,465
,,,,,464
,,,,,461
,,,,,458
,,,,,455
,,,,,452
,,,,,449
,,,,,449
,,,,,449
,,,,,450
,,,,,452
,,,,,452
,,,,,451
,,,,,450
,,,,,449
,,,,,450
,,,,,454
,,,,,460
,,,,,466
,,,,,470
,,,,,469
,,,,,463
,,,,,452
,,,,,439
217,2016,09,18,62177069,427
,,,,,419
,,,,,416
,,,,,417
,,,,,422
,,,,,429
,,,,,435
,,,,,437
,,,,,437
,,,,,434
,,,,,433
,,,,,435
,,,,,442
,,,,,453
,,,,,465
,,,,,478
,,,,,488
,,,,,494
,,,,,496
,,,,,494
,,,,,490
,,,,,485
,,,,,481
,,,,,478
,,,,,475
,,,,,473
,,,,,470
,,,,,468
,,,,,466
,,,,,464
,,,,,463
,,,,,463
,,,,,464
,,,,,468
,,,,,472
,,,,,478
,,,,,483
,,,,,487
,,,,,490
,,,,,493
,,,,,495
,,,,,497
