clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0.0,0.0,8.10623168945e-06,-0.6044302,11:3:43
11.0,9.15305814036,36.0632140636,-0.4014899,11:4:24
7.0,4.36464933142,1.60665798187,-0.3372552,11:4:41
8.0,4.352406921,11.7045850754,-0.4326993,11:4:57
3.0,2.03761407169,2.70641994476,-0.4686235,11:5:3
7.0,5.39438706315,8.04963994026,-0.4662930,11:5:24
4.0,1.78304109785,5.23468184471,-0.4182806,11:5:31
8.0,7.1950347613,10.0195810795,-0.3674590,11:5:56
5.0,2.67332350237,1.92711496353,-0.3259687,11:6:4
5.0,2.35899371769,9.02178883553,-0.5316581,11:6:16
17.0,11.5154713689,39.9978368282,-0.4370257,11:7:10
8.0,6.63177072933,22.7220849991,-0.3699688,11:7:46
12.0,10.1108848005,31.3569259644,-0.4014899,11:8:26
8.0,7.14268281251,16.9911220074,-0.3459272,11:8:58
8.0,3.67941535257,3.56418299675,-0.4417650,11:9:11
12.0,8.75732027355,26.9412798882,-0.4014899,11:10:54
