clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0.0,0.324428862197,2.88486480713e-05,-0.6044302,20:33:35
4.0,4.44533179754,16.9067630768,-0.4836822,20:33:56
5.0,2.29817922161,10.8274109364,-0.5359619,20:34:11
5.0,2.0942742344,15.9942908287,-0.5879188,20:34:32
5.0,3.85943720147,13.6545729637,-0.4611430,20:34:59
6.0,2.61034627084,5.93011903763,-0.3801579,20:35:24
13.0,10.5146653192,36.9595561028,-0.4097495,20:36:19
5.0,4.45032642446,10.4903781414,-0.4867668,20:36:44
4.0,2.96660449128,12.737555027,-0.5613205,20:36:59
3.0,2.59945771469,54.7159309387,-0.6185809,20:38:18
