clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0.0,0.644554971222,9.05990600586e-06,-0.6003211,20:44:1
4.0,3.22416447057,13.1281430721,-0.6117315,20:44:18
2.0,1.4293480573,4.66472101212,-0.5190662,20:44:27
5.0,2.87756432705,13.4217178822,-0.5519080,20:44:44
5.0,2.21518511778,8.63773703575,-0.5084056,20:44:57
6.0,3.23634558546,11.5091948509,-0.5617337,20:45:27
4.0,4.38439236244,8.36711502075,-0.4966835,20:46:0
7.0,5.15746022747,23.5250489712,-0.4971967,20:46:34
4.0,4.05328468635,3.57268810272,-0.3266740,20:46:52
2.0,1.38038178811,2.75454497337,-0.4944406,20:47:2
6.0,3.81587459219,7.78094601631,-0.4943402,20:47:22
1.0,1.56605739932,2.94242310524,-0.4857226,20:47:53
