Trusted?,Disparity,Health,Delay,Percent Trust,Collected Coins
True,0.03701133195480269,100.0,0.2991884295916347,1.0,0
True,0.07438487484211029,100.0,0.6488396174382989,1.0,0
True,0.00959573531952466,100.0,0.10907923481513215,1.0,0
True,0.0446499100262827,98.0,-0.9762341494145728,1.0,1
True,0.017040590494702197,96.0,-1.061707694664937,1.0,1
True,0.49410011322608216,96.0,-1.0376341763765762,1.0,2
True,0.5728326991033055,96.0,-0.4318172542522638,1.0,2
True,0.04005828171530941,96.0,-0.33368892039326914,1.0,2
True,0.016385177075594885,96.0,-1.0119281010244028,1.0,2
True,0.47477821706367407,96.0,-0.9420377672728057,1.0,3
True,0.05182011988528079,94.0,-0.6202847650788001,1.0,3
True,0.04850257309969743,78.0,-1.2479061929214947,1.0,4
True,0.013989684933592289,78.0,-0.2601334059493756,1.0,4
True,0.20166328199952488,76.0,-0.5117844957192781,1.0,4
