Trusted?,Disparity,Health,Delay,Percent Trust,Collected Coins
False,0.3347738212667643,100.0,1443919533.941458,0.0,0
True,0.008095541415391715,99.0,-1.274647687255673,0.5,1
True,0.01812675681014593,95.0,0.629712263399965,0.6666666666666666,1
True,0.019614234887363722,94.0,0.19589503215143544,0.75,1
True,0.00597683373895848,94.0,0.1583253040567767,0.8,1
True,0.13390287049103552,94.0,-0.2192614168689877,0.8333333333333334,1
True,0.020541717896989307,90.0,-0.5169213641268726,0.8571428571428571,2
True,0.02179165073462005,86.0,-1.0592964831955767,0.875,3
True,0.012246247400955373,83.0,0.6670174253327832,0.8888888888888888,3
True,0.01577402112368179,79.0,0.42233715036414665,0.9,3
False,0.40012751958666415,67.0,2.853647553263259,0.8181818181818182,3
True,0.048023123799025555,67.0,-1.2242314530961647,0.8333333333333334,4
