Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSRStatus,ROGTime,ROG,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
12/08/2016 03:04:36.428,65,8.1,-3276.8,-3,0.11,0.15,4.143,90,6207.000,65535.000,255,0.000000,0.000080,0,65535,0,65535,1,2,-1.04,-0.97,-0.12,0.01,0.02,0.14,29.4,531,255,-128,-128,6553.5,424,422,515
12/08/2016 03:04:37.428,65,8.1,-3276.8,-6,0.08,0.10,4.143,90,5536.000,65535.000,255,0.000000,0.000520,0,65535,0,65535,1,3,-1.01,-0.97,-0.14,-0.02,0.03,0.18,29.4,528,255,-128,-128,6553.5,415,419,507
12/08/2016 03:04:38.428,65,7.3,-3276.8,-8,0.07,0.10,4.143,90,4873.000,65535.000,255,0.001000,0.000520,0,65535,0,65535,1,4,-1.03,-0.96,-0.20,-0.02,0.06,0.18,29.4,528,255,-128,-128,6553.5,415,420,507
12/08/2016 03:04:39.428,60,7.3,-3276.8,-9,0.06,0.08,4.142,90,4209.000,65535.000,255,0.001000,0.000340,0,65535,0,65535,1,5,-1.00,-0.96,-0.21,-0.15,0.02,0.13,29.4,528,255,-128,-128,6553.5,414,419,507
12/08/2016 03:04:40.428,63,6.6,-3276.8,-10,0.04,0.07,4.142,90,3661.000,65535.000,255,0.001000,0.000260,0,65535,0,65535,1,6,-0.98,-0.95,-0.21,-0.16,0.02,0.09,29.4,528,255,-128,-128,6553.5,415,420,507
12/08/2016 03:04:41.428,74,6.6,-3276.8,-10,0.02,0.04,4.142,90,3143.000,65535.000,255,0.001000,0.000240,0,65535,0,65535,1,7,-1.00,-0.96,-0.21,-0.16,0.02,0.10,29.4,528,255,-128,-128,6553.5,414,420,506
12/08/2016 03:04:42.428,80,6.9,-3276.8,-11,0.01,0.10,4.141,90,2730.000,65535.000,255,0.001000,0.000440,13,65535,0,65535,1,8,-1.00,-0.96,-0.37,-0.15,0.03,0.09,29.4,528,255,-128,-128,6553.5,415,420,507
12/08/2016 03:04:43.428,82,6.9,-3276.8,-11,0.01,0.03,4.140,90,2345.000,65535.000,255,0.001000,0.000320,22,65535,100,65535,1,9,-1.00,-0.95,-0.22,-0.16,0.02,0.10,29.4,512,255,-128,-128,6553.5,415,419,507
12/08/2016 03:04:44.428,83,7.4,-3276.8,-12,0.01,0.03,4.140,90,2037.000,65535.000,255,0.003220,0.000340,32,65535,100,65535,1,10,-1.00,-0.96,-0.22,-0.16,0.02,0.09,29.4,512,255,-128,-128,6553.5,414,420,507
12/08/2016 03:04:45.428,83,7.4,-3276.8,-11,0.01,0.03,4.140,90,1751.000,65535.000,255,0.003220,0.000280,41,65535,100,65535,1,11,-1.00,-0.95,-0.22,-0.16,0.03,0.09,29.4,512,255,-128,-128,6553.5,414,420,506
