SeqNo, Year, Month, Day, ms, ECG Data
0,2016,09,17,47878376,491
,,,,,486
,,,,,482
,,,,,480
,,,,,480
,,,,,481
,,,,,480
,,,,,479
,,,,,478
,,,,,478
,,,,,478
,,,,,479
,,,,,480
,,,,,482
,,,,,484
,,,,,485
,,,,,487
,,,,,487
,,,,,487
,,,,,486
,,,,,486
,,,,,488
,,,,,490
,,,,,493
,,,,,495
,,,,,496
,,,,,497
,,,,,498
,,,,,499
,,,,,501
,,,,,503
,,,,,506
,,,,,510
,,,,,513
,,,,,515
,,,,,517
,,,,,517
,,,,,515
,,,,,514
,,,,,512
,,,,,512
,,,,,512
,,,,,513
,,,,,513
,,,,,512
,,,,,509
,,,,,506
,,,,,503
,,,,,500
,,,,,498
,,,,,498
,,,,,498
,,,,,498
,,,,,497
,,,,,496
,,,,,495
,,,,,492
,,,,,487
,,,,,482
,,,,,476
,,,,,471
,,,,,467
,,,,,464
1,2016,09,17,47878628,461
,,,,,458
,,,,,454
,,,,,449
,,,,,444
,,,,,437
,,,,,429
,,,,,422
,,,,,415
,,,,,408
,,,,,400
,,,,,392
,,,,,383
,,,,,374
,,,,,364
,,,,,354
,,,,,346
,,,,,339
,,,,,332
,,,,,326
,,,,,319
,,,,,313
,,,,,306
,,,,,299
,,,,,292
,,,,,285
,,,,,278
,,,,,270
,,,,,262
,,,,,255
,,,,,247
,,,,,238
,,,,,229
,,,,,218
,,,,,207
,,,,,195
,,,,,183
,,,,,172
,,,,,163
,,,,,153
,,,,,143
,,,,,133
,,,,,123
,,,,,113
,,,,,102
,,,,,92
,,,,,83
,,,,,75
,,,,,72
,,,,,71
,,,,,72
,,,,,74
,,,,,74
,,,,,74
,,,,,74
,,,,,74
,,,,,74
,,,,,74
,,,,,74
,,,,,74
,,,,,74
,,,,,74
,,,,,74
2,2016,09,17,47878880,74
,,,,,74
,,,,,74
,,,,,74
,,,,,74
,,,,,74
,,,,,74
,,,,,74
,,,,,74
,,,,,74
,,,,,74
,,,,,74
,,,,,74
,,,,,74
,,,,,74
,,,,,74
,,,,,74
,,,,,74
,,,,,74
,,,,,74
,,,,,74
,,,,,73
,,,,,72
,,,,,71
,,,,,73
,,,,,78
,,,,,85
,,,,,92
,,,,,99
,,,,,103
,,,,,105
,,,,,107
,,,,,110
,,,,,112
,,,,,116
,,,,,120
,,,,,124
,,,,,129
,,,,,135
,,,,,140
,,,,,145
,,,,,150
,,,,,155
,,,,,160
,,,,,165
,,,,,172
,,,,,178
,,,,,185
,,,,,191
,,,,,196
,,,,,201
,,,,,204
,,,,,206
,,,,,208
,,,,,209
,,,,,210
,,,,,211
,,,,,211
,,,,,212
,,,,,212
,,,,,212
,,,,,213
,,,,,214
3,2016,09,17,47879129,216
,,,,,219
,,,,,223
,,,,,228
,,,,,234
,,,,,240
,,,,,245
,,,,,250
,,,,,255
,,,,,259
,,,,,264
,,,,,270
,,,,,278
,,,,,287
,,,,,295
,,,,,303
,,,,,311
,,,,,318
,,,,,323
,,,,,328
,,,,,334
,,,,,339
,,,,,345
,,,,,350
,,,,,355
,,,,,360
,,,,,364
,,,,,369
,,,,,375
,,,,,380
,,,,,385
,,,,,390
,,,,,395
,,,,,402
,,,,,408
,,,,,416
,,,,,425
,,,,,434
,,,,,441
,,,,,447
,,,,,453
,,,,,460
,,,,,467
,,,,,476
,,,,,484
,,,,,493
,,,,,501
,,,,,506
,,,,,510
,,,,,513
