SeqNo, Year, Month, Day, ms, RtoR Data
68,2016,09,18,62175405,441
,,,,,441
,,,,,441
,,,,,441
,,,,,-351
,,,,,-351
,,,,,-351
,,,,,-351
,,,,,-351
,,,,,-351
,,,,,-351
,,,,,-351
,,,,,-351
,,,,,-351
,,,,,-351
,,,,,-351
,,,,,-351
,,,,,795
69,2016,09,18,62176409,795
,,,,,795
,,,,,795
,,,,,795
,,,,,-42
,,,,,-42
,,,,,-42
,,,,,-42
,,,,,362
,,,,,362
,,,,,362
,,,,,362
,,,,,362
,,,,,-330
,,,,,-330
,,,,,-330
,,,,,-330
,,,,,-330
70,2016,09,18,62177417,-330
,,,,,-330
,,,,,-330
,,,,,-330
,,,,,444
,,,,,444
,,,,,444
,,,,,444
,,,,,444
,,,,,444
,,,,,444
,,,,,444
,,,,,-499
,,,,,-499
,,,,,-499
,,,,,-499
,,,,,-499
,,,,,-499
71,2016,09,18,62178429,-499
,,,,,-499
,,,,,-499
,,,,,-499
,,,,,-499
,,,,,-499
,,,,,-499
,,,,,-499
,,,,,633
,,,,,633
,,,,,633
,,,,,633
,,,,,633
,,,,,633
,,,,,633
,,,,,633
,,,,,633
,,,,,633
72,2016,09,18,62179437,633
,,,,,633
,,,,,633
,,,,,-801
,,,,,-801
,,,,,-801
,,,,,-801
,,,,,-801
,,,,,-801
,,,,,-801
,,,,,-801
,,,,,-801
,,,,,-801
,,,,,-801
,,,,,-801
,,,,,-801
,,,,,-801
,,,,,783
73,2016,09,18,62180446,783
,,,,,783
,,,,,783
,,,,,783
,,,,,783
,,,,,783
,,,,,783
,,,,,783
,,,,,-446
,,,,,-446
,,,,,-446
,,,,,-446
,,,,,370
,,,,,370
,,,,,370
,,,,,370
,,,,,370
,,,,,370
74,2016,09,18,62181454,370
,,,,,370
,,,,,370
,,,,,-438
,,,,,-438
,,,,,-438
,,,,,-438
,,,,,-438
,,,,,-438
,,,,,-438
,,,,,-438
,,,,,-438
,,,,,419
,,,,,419
,,,,,419
,,,,,419
,,,,,419
,,,,,419
75,2016,09,18,62182462,419
,,,,,419
,,,,,419
,,,,,419
,,,,,419
,,,,,419
,,,,,419
,,,,,-872
,,,,,-872
,,,,,-872
,,,,,-872
,,,,,-872
,,,,,-872
,,,,,-872
,,,,,-872
,,,,,-872
,,,,,-872
,,,,,-872
76,2016,09,18,62183470,-872
,,,,,-872
,,,,,-872
,,,,,-872
,,,,,-872
,,,,,-872
,,,,,-872
,,,,,832
,,,,,832
,,,,,832
,,,,,832
,,,,,832
,,,,,832
,,,,,832
,,,,,832
,,,,,832
,,,,,832
,,,,,832
77,2016,09,18,62184478,832
,,,,,832
,,,,,832
,,,,,-879
,,,,,-879
,,,,,-879
,,,,,-879
,,,,,-879
,,,,,-879
,,,,,-879
,,,,,-879
,,,,,357
,,,,,357
,,,,,357
,,,,,357
,,,,,357
,,,,,-369
,,,,,-369
78,2016,09,18,62185486,-369
,,,,,-369
,,,,,-369
,,,,,-369
,,,,,-369
,,,,,-369
,,,,,-369
,,,,,-369
,,,,,-369
,,,,,-369
,,,,,-369
,,,,,819
,,,,,819
,,,,,819
,,,,,819
,,,,,819
,,,,,819
,,,,,819
